#separator:tab
#html:false
#notetype column:1
#deck column:2
Adjectif	Allemand::Adjectifs	Alt	Älter	Vieux	
Adjectif	Allemand::Adjectifs	Jung	Jünger	Jeune	
Adjectif	Allemand::Adjectifs	Kalt	Kälter	Froid	
Adjectif	Allemand::Adjectifs	Warm	Wärmer	Chaud	
Adjectif	Allemand::Adjectifs	Kurz	Kürzer	Court	
Adjectif	Allemand::Adjectifs	Lang	Länger	Long	
Adjectif	Allemand::Adjectifs	Stark	Stärker	Fort	
Adjectif	Allemand::Adjectifs	Schwach	Schwächer	Faible	
Adjectif	Allemand::Adjectifs	Klug	Klüger	Intelligent	
Adjectif	Allemand::Adjectifs	Dumm	Dümmer	Bête	
Adjectif	Allemand::Adjectifs	Arm	Ärmer	Pauvre	
Adjectif	Allemand::Adjectifs	Grob	Gröber	Grossier	
Adjectif	Allemand::Adjectifs	Groß	Größer	Grand	
Adjectif	Allemand::Adjectifs	Hart	Härter	Dur	
Adjectif	Allemand::Adjectifs	Krank	Kränker	Malade	
Adjectif	Allemand::Adjectifs	Scharf	Schärfer	Épicé	
Adjectif	Allemand::Adjectifs	Schwarz	Schwärzer	Noir	
Adjectif irrégulier	Allemand::Adjectifs	Gut	Bon	Besser	Der beste/am besten
Adjectif irrégulier	Allemand::Adjectifs	Viel	Beaucoup	Mehr	Der meiste/am meisten
Adjectif irrégulier	Allemand::Adjectifs	Gern	Volontiers	Lieber	Der liebste/am liebsten
Adjectif irrégulier	Allemand::Adjectifs	Hoch	Haut	Höher	Der höchste/am höchsten
Adjectif irrégulier	Allemand::Adjectifs	Nah	Proche	Näher	Der nächste/am nächsten
Adjectif irrégulier	Allemand::Adjectifs	Bald	Bientôt	Eher	Am ehesten
Adjectif irrégulier	Allemand::Adjectifs	Oft	Souvent	Öfter/häufiger	Der häufigste/am häufigsten
