#separator:tab
#html:false
#notetype column:1
#deck column:2
Q/R exemple	Allemand::Introductions infinitifs	Um ... Zu ...	Pour que	Ich arbeite mehr, um mehr zu verdienen.
Q/R exemple	Allemand::Introductions infinitifs	Ohne ... Zu ...	Sans que	Ein Präsident kann keine wichtigen politischen Entscheidungen treffen, ohne vorher mit seinem Premierminister gesprochen zu haben.
Q/R exemple	Allemand::Introductions infinitifs	(an)statt ... Zu ...	Au lieu de	Anstatt zu meckern, solltest du lieber konstruktive Vorschläge machen.
